correlation_id,antecedent_id,antecedent_request_time,consequent_id,consequent_response_time,case_id
frequenttemporalcorrelation1,1f61314f275fcc690049921bffac9314,2024-04-15T12:53:00.155000+00:00,8815d10cf19f330023b98f4cdb1d695c,2024-04-15T12:53:00.900000+00:00,1
frequenttemporalcorrelation10,8815d10cf19f330023b98f4cdb1d695c,2024-04-15T12:53:00.900000+00:00,c65ed00a2aad8c2a1d71ad6970e8047a,2024-04-15T12:53:04.673000+00:00,2
frequenttemporalcorrelation15,db60373a949c022813e4e718dc353a56,2024-04-15T12:53:01.655000+00:00,c65ed00a2aad8c2a1d71ad6970e8047a,2024-04-15T12:53:04.673000+00:00,3
frequenttemporalcorrelation20,9b8bcc0e4bcb2261fd816e54dd709a50,2024-04-15T12:53:02.372000+00:00,c65ed00a2aad8c2a1d71ad6970e8047a,2024-04-15T12:53:04.673000+00:00,4
frequenttemporalcorrelation26,c65ed00a2aad8c2a1d71ad6970e8047a,2024-04-15T12:53:04.673000+00:00,d8f0be34dbe53b47439e4743f851f003,2024-04-15T12:53:05.078000+00:00,2
frequenttemporalcorrelation31,d8f0be34dbe53b47439e4743f851f003,2024-04-15T12:53:05.078000+00:00,0245083144e7d95ef7fe83188a5ad93d,2024-04-15T12:53:05.430000+00:00,2
frequenttemporalcorrelation35,0245083144e7d95ef7fe83188a5ad93d,2024-04-15T12:53:05.430000+00:00,35870d5f1ab813656678421a10e84419,2024-04-15T12:53:05.839000+00:00,2
frequenttemporalcorrelation38,35870d5f1ab813656678421a10e84419,2024-04-15T12:53:05.839000+00:00,ae54160d795c2a33ec1d7f6f49e0e21b,2024-04-15T12:53:06.370000+00:00,2
frequenttemporalcorrelation41,c5274d14ea9fed4326517d6cb797e459,2024-04-15T12:53:07.162000+00:00,e7ae28431d39a3487e3f89469eb0c372,2024-04-15T12:54:26.528000+00:00,5
frequenttemporalcorrelation44,c7e0d77e6ae7cd73dfd6946606d74c48,2024-04-15T12:53:07.486000+00:00,d625cd3d093a8e14b2bf77079d849d48,2024-04-15T12:53:08.199000+00:00,6
frequenttemporalcorrelation52,d625cd3d093a8e14b2bf77079d849d48,2024-04-15T12:53:08.199000+00:00,14e161759d2e8541da61165dc2357802,2024-04-15T12:53:09.916000+00:00,6
frequenttemporalcorrelation57,33e71a3fcf3025710d6da2420bd8d973,2024-04-15T12:53:08.544000+00:00,14e161759d2e8541da61165dc2357802,2024-04-15T12:53:09.916000+00:00,7
frequenttemporalcorrelation62,14e161759d2e8541da61165dc2357802,2024-04-15T12:53:09.916000+00:00,178baf74c67f954c0c165b1edcb2fc08,2024-04-15T12:53:10.706000+00:00,6
frequenttemporalcorrelation67,178baf74c67f954c0c165b1edcb2fc08,2024-04-15T12:53:10.706000+00:00,b01f83103267d80a934ae16278005b0f,2024-04-15T12:53:11.046000+00:00,6
frequenttemporalcorrelation71,b01f83103267d80a934ae16278005b0f,2024-04-15T12:53:11.046000+00:00,7b5b045e30971f5f10f91005ae421f1d,2024-04-15T12:53:12.046000+00:00,6
frequenttemporalcorrelation73,9c4ea67e722176497ed7a7577374733c,2024-04-15T12:53:11.401000+00:00,7b5b045e30971f5f10f91005ae421f1d,2024-04-15T12:53:12.046000+00:00,8
frequenttemporalcorrelation75,7b5b045e30971f5f10f91005ae421f1d,2024-04-15T12:53:12.046000+00:00,ffc744501d66b347ba1af910aadea508,2024-04-15T12:53:12.851000+00:00,6
frequenttemporalcorrelation76,ffc744501d66b347ba1af910aadea508,2024-04-15T12:53:12.851000+00:00,75a271015f46b15d73b5b85b42a4903b,2024-04-15T12:53:28.535000+00:00,6
frequenttemporalcorrelation77,6d719d4dbd44c308573a0f7202646132,2024-04-15T12:53:22.881000+00:00,b86d11198ef05119cbdd3276cc4e730e,2024-04-15T12:53:23.229000+00:00,9
frequenttemporalcorrelation86,b86d11198ef05119cbdd3276cc4e730e,2024-04-15T12:53:23.229000+00:00,424e8476edbd497a4f67fe7f4216c946,2024-04-15T12:53:26.043000+00:00,9
frequenttemporalcorrelation91,2c1fd75aa53f49538f84eb1043aa864f,2024-04-15T12:53:23.553000+00:00,424e8476edbd497a4f67fe7f4216c946,2024-04-15T12:53:26.043000+00:00,10
frequenttemporalcorrelation96,6cbfde1f9b9a462f1f5d83581cdf6130,2024-04-15T12:53:24.369000+00:00,424e8476edbd497a4f67fe7f4216c946,2024-04-15T12:53:26.043000+00:00,11
frequenttemporalcorrelation102,424e8476edbd497a4f67fe7f4216c946,2024-04-15T12:53:26.043000+00:00,0a24fd410982f710ecf46e4f77959a0f,2024-04-15T12:53:26.366000+00:00,9
frequenttemporalcorrelation107,0a24fd410982f710ecf46e4f77959a0f,2024-04-15T12:53:26.366000+00:00,c6c6ba19432f7e4179f9fb417e34cc32,2024-04-15T12:53:26.758000+00:00,9
frequenttemporalcorrelation111,c6c6ba19432f7e4179f9fb417e34cc32,2024-04-15T12:53:26.758000+00:00,d11fd05a45d72e384b833f41fd3ea735,2024-04-15T12:53:27.385000+00:00,9
frequenttemporalcorrelation114,d11fd05a45d72e384b833f41fd3ea735,2024-04-15T12:53:27.385000+00:00,ea16780bda072b5240e92d0556d6562b,2024-04-15T12:53:27.761000+00:00,9
frequenttemporalcorrelation117,12ee15190795751bacf4557437b7f01d,2024-04-15T12:53:28.857000+00:00,1a4cda3289b98e69d7dbcf005c9a5e29,2024-04-15T12:53:29.192000+00:00,12
frequenttemporalcorrelation125,1a4cda3289b98e69d7dbcf005c9a5e29,2024-04-15T12:53:29.192000+00:00,b6019b2fbf438c1f9c338c11a118133b,2024-04-15T12:53:30.948000+00:00,12
frequenttemporalcorrelation130,7677d8632643ce009eb02770809bd525,2024-04-15T12:53:29.687000+00:00,b6019b2fbf438c1f9c338c11a118133b,2024-04-15T12:53:30.948000+00:00,13
frequenttemporalcorrelation135,b6019b2fbf438c1f9c338c11a118133b,2024-04-15T12:53:30.948000+00:00,994bb771dd1cba16f7ee69660eee2873,2024-04-15T12:53:31.693000+00:00,12
frequenttemporalcorrelation140,994bb771dd1cba16f7ee69660eee2873,2024-04-15T12:53:31.693000+00:00,3c636b746aa422425192b92e4e51810d,2024-04-15T12:53:32.012000+00:00,12
frequenttemporalcorrelation144,3c636b746aa422425192b92e4e51810d,2024-04-15T12:53:32.012000+00:00,87409e0c5de4412ce81fd139fdb77670,2024-04-15T12:53:32.656000+00:00,12
frequenttemporalcorrelation146,7239985dfd860f238508722b8c857210,2024-04-15T12:53:32.323000+00:00,87409e0c5de4412ce81fd139fdb77670,2024-04-15T12:53:32.656000+00:00,14
frequenttemporalcorrelation148,87409e0c5de4412ce81fd139fdb77670,2024-04-15T12:53:32.656000+00:00,8327102d87d0f8297e534c16b3ecd53e,2024-04-15T12:53:33.418000+00:00,12
frequenttemporalcorrelation149,8327102d87d0f8297e534c16b3ecd53e,2024-04-15T12:53:33.418000+00:00,4781fa753af37576c302156de8dd5d4c,2024-04-15T12:54:31.593000+00:00,12
frequenttemporalcorrelation150,11768f697684bc4ba978566adf4aa46a,2024-04-15T12:54:25.778000+00:00,e7ae28431d39a3487e3f89469eb0c372,2024-04-15T12:54:26.528000+00:00,15
frequenttemporalcorrelation159,e7ae28431d39a3487e3f89469eb0c372,2024-04-15T12:54:26.528000+00:00,65317048873b3f7e58c8ed1be8588075,2024-04-15T12:54:29.058000+00:00,5
frequenttemporalcorrelation164,dd7c2f681a7315583fc9d62d76c8e659,2024-04-15T12:54:26.876000+00:00,65317048873b3f7e58c8ed1be8588075,2024-04-15T12:54:29.058000+00:00,16
frequenttemporalcorrelation169,f78fcf6e36b8401485b60f4d34f33a63,2024-04-15T12:54:27.304000+00:00,65317048873b3f7e58c8ed1be8588075,2024-04-15T12:54:29.058000+00:00,17
frequenttemporalcorrelation175,65317048873b3f7e58c8ed1be8588075,2024-04-15T12:54:29.058000+00:00,0e0c3828d61b3a329b4556342082c711,2024-04-15T12:54:29.399000+00:00,5
frequenttemporalcorrelation180,0e0c3828d61b3a329b4556342082c711,2024-04-15T12:54:29.399000+00:00,4ca0f67d44beac1effcc6b7c334f1f41,2024-04-15T12:54:29.840000+00:00,5
frequenttemporalcorrelation184,4ca0f67d44beac1effcc6b7c334f1f41,2024-04-15T12:54:29.840000+00:00,62f74f677d0cf542d1ffe2333f747f4f,2024-04-15T12:54:30.259000+00:00,5
frequenttemporalcorrelation187,62f74f677d0cf542d1ffe2333f747f4f,2024-04-15T12:54:30.259000+00:00,977f0a1b10c9b961b53c66298f0fda09,2024-04-15T12:54:30.765000+00:00,5
frequenttemporalcorrelation190,103c3f724547d15dfb735900e40b1811,2024-04-15T12:54:31.939000+00:00,4d94ff799a8fc7443e1c8f3cb2c56f42,2024-04-15T12:54:32.287000+00:00,18
frequenttemporalcorrelation198,4d94ff799a8fc7443e1c8f3cb2c56f42,2024-04-15T12:54:32.287000+00:00,cc32673cbdefaf7d1c8ec24163b27157,2024-04-15T12:54:34.393000+00:00,18
frequenttemporalcorrelation203,21cb064396e47c589b1ef03730d73e6b,2024-04-15T12:54:33.031000+00:00,cc32673cbdefaf7d1c8ec24163b27157,2024-04-15T12:54:34.393000+00:00,19
frequenttemporalcorrelation208,cc32673cbdefaf7d1c8ec24163b27157,2024-04-15T12:54:34.393000+00:00,ceb8695fd1ca286bf2c14b61153a6455,2024-04-15T12:54:35.168000+00:00,18
frequenttemporalcorrelation213,ceb8695fd1ca286bf2c14b61153a6455,2024-04-15T12:54:35.168000+00:00,0cbe9e61b5c4604efd17c2211cfadd53,2024-04-15T12:54:35.750000+00:00,18
frequenttemporalcorrelation217,0cbe9e61b5c4604efd17c2211cfadd53,2024-04-15T12:54:35.750000+00:00,921be3663f228521fb65a168b3e6e929,2024-04-15T12:54:36.853000+00:00,18
frequenttemporalcorrelation219,fb0b322cf88b1b220006f66448a03126,2024-04-15T12:54:36.158000+00:00,921be3663f228521fb65a168b3e6e929,2024-04-15T12:54:36.853000+00:00,20
frequenttemporalcorrelation221,921be3663f228521fb65a168b3e6e929,2024-04-15T12:54:36.853000+00:00,d506027a96849120e3bd28154207b904,2024-04-15T12:54:37.604000+00:00,18
